2016-11-14 19:49:31,970 | mylogger | INFO | save captcha to local machine.
2016-11-14 19:52:58,431 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:00:05,642 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:06:53,339 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:22:45,349 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:24:01,573 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:27:41,749 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:30:46,965 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:33:08,388 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:39:20,098 | mylogger | INFO | save captcha to local machine.
2016-11-14 20:42:05,376 | mylogger | INFO | save captcha to local machine.
2016-11-14 21:00:14,272 | mylogger | INFO | save captcha to local machine.
2016-11-14 21:02:09,458 | mylogger | INFO | save captcha to local machine.
2016-11-15 15:21:41,701 | mylogger | INFO | save captcha to local machine.
2016-11-15 15:44:17,966 | mylogger | INFO | save captcha to local machine.
2016-11-15 15:47:03,006 | mylogger | INFO | save captcha to local machine.
2016-11-15 15:49:58,638 | mylogger | INFO | save captcha to local machine.
2016-11-15 16:03:38,588 | mylogger | INFO | save captcha to local machine.
2016-11-15 16:10:05,495 | mylogger | INFO | save captcha to local machine.
2016-11-15 16:12:32,550 | mylogger | INFO | save captcha to local machine.
2016-11-15 16:12:51,782 | mylogger | INFO | save captcha to local machine.
2016-11-15 16:15:14,917 | mylogger | INFO | save captcha to local machine.
2016-11-15 16:22:29,473 | mylogger | INFO | save captcha to local machine.
2016-11-15 16:46:06,043 | mylogger | INFO | save captcha to local machine.
2016-11-15 17:01:44,377 | mylogger | INFO | save captcha to local machine.
2016-11-15 19:46:50,876 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:12:21,373 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:14:34,669 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:16:20,365 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:18:16,607 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:21:33,361 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:22:45,937 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:42:48,037 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:44:54,575 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:46:25,196 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:53:20,387 | mylogger | INFO | save captcha to local machine.
2016-11-15 20:58:57,534 | mylogger | INFO | save captcha to local machine.
2016-11-15 21:00:44,493 | mylogger | INFO | save captcha to local machine.
2016-11-15 21:04:06,860 | mylogger | INFO | save captcha to local machine.
2016-11-15 21:04:59,708 | mylogger | INFO | save captcha to local machine.
2016-11-15 21:35:28,844 | mylogger | INFO | save captcha to local machine.
2016-11-16 08:25:40,002 | mylogger | INFO | save captcha to local machine.
2016-11-16 08:56:56,090 | mylogger | INFO | save captcha to local machine.
2016-11-16 09:04:11,353 | mylogger | INFO | save captcha to local machine.
2016-11-16 09:08:30,872 | mylogger | INFO | save captcha to local machine.
2016-11-16 09:11:05,367 | mylogger | INFO | save captcha to local machine.
2016-11-16 09:12:26,791 | mylogger | INFO | save captcha to local machine.
2016-11-16 09:45:09,454 | mylogger | INFO | save captcha to local machine.
2016-11-16 09:46:57,532 | mylogger | INFO | save captcha to local machine.
2016-11-16 09:47:49,500 | mylogger | INFO | save captcha to local machine.
2016-11-16 10:14:48,639 | mylogger | INFO | save captcha to local machine.
2016-11-16 10:20:38,496 | mylogger | INFO | save captcha to local machine.
2016-11-16 10:42:14,514 | mylogger | INFO | save captcha to local machine.
2016-11-16 10:56:14,751 | mylogger | INFO | save captcha to local machine.
2016-11-16 11:01:54,797 | mylogger | INFO | save captcha to local machine.
2016-11-16 20:50:20,288 | mylogger | INFO | save captcha to local machine.
2016-11-16 21:34:39,306 | mylogger | INFO | save captcha to local machine.
2016-11-16 21:36:28,250 | mylogger | INFO | save captcha to local machine.
2016-11-16 21:39:00,669 | mylogger | INFO | save captcha to local machine.
2016-11-16 22:42:18,534 | mylogger | INFO | save captcha to local machine.
2016-11-17 08:35:06,097 | mylogger | INFO | save captcha to local machine.
2016-11-17 08:36:44,446 | mylogger | INFO | save captcha to local machine.
2016-11-17 08:56:52,058 | mylogger | INFO | save captcha to local machine.
2016-11-17 09:20:19,072 | mylogger | INFO | save captcha to local machine.
2016-11-17 09:21:08,974 | mylogger | INFO | save captcha to local machine.
2016-11-17 09:40:45,790 | mylogger | INFO | save captcha to local machine.
2016-11-17 09:43:49,325 | mylogger | INFO | save captcha to local machine.
2016-11-17 09:50:04,672 | mylogger | INFO | save captcha to local machine.
2016-11-17 11:30:19,455 | mylogger | INFO | save captcha to local machine.
